# contract_addr, #patch, gas_incr, inst_incr, size_incr, orig_size
0x059dc5b0249eac7531dbcd160975fda49b137826 5 279 521 521 6564
0x05ac3e3047de05ace01d4617dcb91d0b6400b07f 4 183 451 451 4520
0x05acecc73ff68c850e0ff5a068262678966d9f4d 1 64 156 156 7338
0x05b55c6fc8386ceac97abdb68510d8acd610ccf1 2 164 307 307 5702
0x05b9f9f8868631c4afd2b7f14600bfa3a64524be 2 106 281 281 4302
0x05bde391a60550b8d0e9fce054eb60c105681265 2 106 700 700 9296
0x05be4f528df1382f12668eaaef3e49eb2b97cc8e 4 183 451 451 3684
0x05c571b3f048c3f8a87c8dcaa5e1434356f9fdb9 1 53 144 144 1160
0x05c774f485c6861cd24209be934cb51610562f9f 1 96 182 182 7552
0x05c7dbfaed3774fd5d15c6cb990eb3b919bb3987 3 161 233 233 5732
0x05cef0da7bc1d272d29c77c95695eb4aa9dc5133 3 201 302 302 5470
0x05cf67329a262818e67c080e9d511a34d36152c0 3 197 99 99 11410
0x05d379b48a8622ae4018309e116420db4a38a225 3 150 305 305 4536
0x05dfd20d1843039cde98443a1fb38d743005f8b0 5 298 478 478 5786
0x05e0da20fb30f6947c5f1921b77321d6ebc2a24d 4 182 838 838 11382
0x05e1f62c2f3c0ab2acbacb5f9a2e4b53da5c64e6 3 163 264 264 5756
0x05e4eb4e50c35cd526e14248157f34fcfeacfd7d 4 200 384 384 5498
0x05e69b1195dc88046e6cbcd2f4142ab028618bdc 4 183 1086 1086 8408
0x05e75b895d04b4026ec5567296790d63c917323a 2 106 696 696 8008
0x05e7e62b356a68bca952b6f3efe094f59b31633e 2 106 696 696 8008
0x05f1975178262d1c9a6366f2f6ad86ed6d932cae 1 56 217 217 1830
0x05f1a023aed9974344915eb33b98a31d6a883dc3 2 140 247 247 5178
0x05f614d21a49a8e8a0b7b7b23798a9918ab0843c 1 97 56 56 8292
0x05f6ace5a0de7a28b2b89cb50169c5d36eecccd2 4 259 311 311 7180
0x05f7802e87d80f49c05ddbe1f2285593eb79ce23 4 229 151 151 14538
0x05f8c3d8befb8e5651fc49a970cbc956b41db26d 0 0 0 0 22138
0x05fa56daf3c7496854bf685e7f3f435f87589e58 5 268 520 520 6680
0x05fceb069136e291f5241753e8e5ad2b55a372d6 4 183 1086 1086 8834
0x05fd1a29c5043f668650e20fc00dcc5eae46d879 2 110 228 228 5864
0x05feb3b6c5fc0226eaba3f2354de0a79eb7d961a 5 416 248 248 7356
0x06012c8cf97bead5deae237070f9587f8e7a266d 9 596 575 575 24870
0x0609ee5ad71ef19aebe6940aaf3e75303fbf6959 4 183 451 451 4328
0x060d0b85c8a352255cdfbbe8c910a00288f2a85a 2 106 281 281 4302
0x06116eeb7c32fb37966c420ceb9ae36a20d363e0 4 183 451 451 5476
0x06117df6a48d94402a2ccace1fb01c78328c95e4 2 106 696 696 8008
0x0613c5dce61a44cdb467c62a0b2a3f4f91747486 6 277 652 652 5378
0x0618f5b9216d1f519119daf5f6d1ae84893a619a 2 110 257 257 4990
0x061c745652a6c2ab110e1fb51bbe048cd5aae771 2 108 150 150 4074
0x0623434cff203d9bde6ab47d8d81a7bf160e17f0 2 94 232 232 10432
0x0623e270ea9d33f8414288c0e37f44b8b837a4dc 2 88 527 527 9828
0x0626b6b05f2cea589774d81c108c86cb22e3dcc2 12 563 505 505 1560
0x063115687340eddf0468cfabea4f3770930c119d 2 106 696 696 8008
0x0634b7305c161f09093144e48c47a9b4f40a9d73 2 129 105 105 1940
0x0639b813962bfc837054e98f71cd1db78901ed3f 3 191 322 322 5184
